Date,Value
2012-05-01,-0.782000614
2012-06-01,-0.590084355
2012-07-01,0.765233804
2012-08-01,0.862166256
2012-09-01,0.902612493
2012-10-01,0.057443721
2012-11-01,0.286399266
2012-12-01,-0.153455793
2013-01-01,0.470434567
2013-02-01,0.676855853
2013-03-01,0.651495176
2013-04-01,0.95396091
2013-05-01,0.739448709
2013-06-01,0.730851615
2013-07-01,0.456705168
2013-08-01,0.411390065
2013-09-01,-0.153452196
2013-10-01,0.209176705
2013-11-01,0.209970923
2013-12-01,1.156836655
2014-01-01,0.734976791
2014-02-01,0.487180109
2014-03-01,0.221757631
2014-04-01,0.191460121
2014-05-01,0.044268265
2014-06-01,0.095590974
2014-07-01,-0.771123943
2014-08-01,-0.998186432
2014-09-01,-0.065618085
2014-10-01,-0.450636844
2014-11-01,-0.79838176
2014-12-01,-1.028783718
2015-01-01,-0.957450932
2015-02-01,-0.395753403
2015-03-01,0.071169574
2015-04-01,-0.218115783
2015-05-01,-0.282051176
2015-06-01,-0.523159392
2015-07-01,-0.149852563
2015-08-01,0.200518767
2015-09-01,-0.898631715
2015-10-01,-1.006385183
2015-11-01,-1.115661286
2015-12-01,-1.353911727
2016-01-01,-1.25295236
2016-02-01,-1.521808883
2016-03-01,-1.836701208
2016-04-01,-1.464906299
2016-05-01,-0.53900476
2016-06-01,-0.762235791
2016-07-01,-0.984084279
2016-08-01,-1.515348098
2016-09-01,-1.734311261
2016-10-01,-1.482081913
2016-11-01,-1.379386711
2016-12-01,-1.360918546
2017-01-01,-0.995204136
2017-02-01,-0.925968858
2017-03-01,-0.855070661
2017-04-01,-0.727056023
2017-05-01,-1.448173296
2017-06-01,-1.09580796
2017-07-01,-0.935842827
2017-08-01,-0.489364207
2017-09-01,-0.594115404
2017-10-01,-0.279425411
2017-11-01,-0.001956015
2017-12-01,0.244344976
2018-01-01,-0.044658257
2018-02-01,-0.253966415
2018-03-01,-0.212144166
2018-04-01,-0.140926031
2018-05-01,0.184621066
2018-06-01,0.101600912
2018-07-01,0.160176895
2018-08-01,0.097598133
2018-09-01,0.900019235
2018-10-01,0.652829799
2018-11-01,0.417469369
2018-12-01,0.278350682
2019-01-01,0.037900999
2019-02-01,0.004051654
2019-03-01,-0.114547687
2019-04-01,-0.408762645
2019-05-01,-0.601940519
2019-06-01,-1.150047104
2019-07-01,-0.988266128
2019-08-01,-1.091263997
2019-09-01,-1.911038044
