Value,Month,Year
1.244936423,11,2007
1.421233296,12,2007
1.281969454,1,2008
0.797372983,2,2008
0.761766102,3,2008
0.838678822,4,2008
0.653813761,5,2008
0.870526821,6,2008
1.40128061,7,2008
1.010409477,8,2008
0.892398589,9,2008
1.55892138,10,2008
1.56476319,11,2008
1.332977345,12,2008
1.232473585,1,2009
1.085094895,2,2009
0.943730429,3,2009
0.7724058,4,2009
0.394453963,5,2009
0.671749642,6,2009
0.620877448,7,2009
0.451746744,8,2009
0.684566194,9,2009
0.216526547,10,2009
0.626458832,11,2009
0.949068817,12,2009
1.051137854,1,2010
1.48721301,2,2010
1.20246547,3,2010
1.287845937,4,2010
1.727759218,5,2010
1.177517826,6,2010
1.300352792,7,2010
1.089717895,8,2010
0.629616006,9,2010
1.435967292,10,2010
1.296837892,11,2010
1.1709038,12,2010
0.989841008,1,2011
0.793495386,2,2011
0.826434598,3,2011
0.93553551,4,2011
0.605232792,5,2011
0.448472879,6,2011
-0.134803594,7,2011
-0.390086199,8,2011
0.269907871,9,2011
-0.923467907,10,2011
-1.257043969,11,2011
-1.330161297,12,2011
-1.474000074,1,2012
-1.716114916,2,2012
-1.652087426,3,2012
-1.900432107,4,2012
-1.754224971,5,2012
-1.682453763,6,2012
-1.578095517,7,2012
-1.522595306,8,2012
-1.437758018,9,2012
-1.343554241,10,2012
-1.128715111,11,2012
-0.548412538,12,2012
-0.127664515,1,2013
0.235968817,2,2013
0.928667966,3,2013
1.463659712,4,2013
1.567045141,5,2013
1.675195387,6,2013
1.521283091,7,2013
1.626380075,8,2013
1.475869774,9,2013
1.440750465,10,2013
1.822164209,11,2013
1.720148246,12,2013
1.823950795,1,2014
2.183460561,2,2014
2.074944233,3,2014
2.043887386,4,2014
1.932416464,5,2014
2.155464489,6,2014
2.078236809,7,2014
2.000656634,8,2014
2.04935734,9,2014
1.880344098,10,2014
1.815091881,11,2014
1.685693243,12,2014
1.412461192,1,2015
0.780198659,2,2015
0.378716945,3,2015
0.055185011,4,2015
0.270024309,5,2015
-0.174671137,6,2015
0.051997541,7,2015
-0.129945499,8,2015
-0.160662828,9,2015
0.084326131,10,2015
-0.022912216,11,2015
-0.280633805,12,2015
-0.026624874,1,2016
0.048570326,2,2016
0.057914965,3,2016
-0.17413843,4,2016
0.299421124,5,2016
0.368572498,6,2016
0.376279437,7,2016
0.426630903,8,2016
0.401291876,9,2016
-0.179512722,10,2016
-0.253585052,11,2016
-0.409266453,12,2016
-0.631118892,1,2017
-0.822049361,2,2017
-0.75732117,3,2017
-0.471099092,4,2017
-1.032023562,5,2017
-0.659964261,6,2017
-0.900500217,7,2017
-0.894919131,8,2017
-0.871466576,9,2017
-0.111840224,10,2017
0.324607134,11,2017
0.395701603,12,2017
0.37914759,1,2018
0.29459307,2,2018
0.018502624,3,2018
0.31373076,4,2018
0.520972411,5,2018
0.469186798,6,2018
0.638349009,7,2018
0.482465072,8,2018
0.877189556,9,2018
0.562123714,10,2018
0.26845791,11,2018
0.314336983,12,2018
0.501356787,1,2019
0.427959092,2,2019
0.562065651,3,2019
-0.056003916,4,2019
-0.318406761,5,2019
-1.062923332,6,2019
-1.201704827,7,2019
-1.308303914,8,2019
-1.652413089,9,2019
-1.715149858,10,2019
-1.65571383,11,2019
-1.73593985,12,2019
-1.818047564,1,2020
-1.591066518,2,2020
-1.536991249,3,2020
-1.245036358,4,2020
-1.025797913,5,2020
-0.772595944,6,2020
-0.044791264,7,2020
-0.084688934,8,2020
0.622833984,9,2020
0.520842319,10,2020
0.499201653,11,2020
0.556508605,12,2020
0.992058174,1,2021
1.173220537,2,2021
1.210942583,3,2021
1.167898101,4,2021
0.754307463,5,2021
1.17973083,6,2021
0.99821408,7,2021
1.164913903,8,2021
0.845664577,9,2021
0.716998021,10,2021
0.528393603,11,2021
