Value,Month,Year
0.902612493,9,2012
0.057443721,10,2012
0.286399266,11,2012
-0.153455793,12,2012
0.470434567,1,2013
0.676855853,2,2013
0.651495176,3,2013
0.95396091,4,2013
0.739448709,5,2013
0.730851615,6,2013
0.456705168,7,2013
0.411390065,8,2013
-0.153452196,9,2013
0.209176705,10,2013
0.209970923,11,2013
1.156836655,12,2013
0.734976791,1,2014
0.487180109,2,2014
0.221757631,3,2014
0.191460121,4,2014
0.044268265,5,2014
0.095590974,6,2014
-0.771123943,7,2014
-0.998186432,8,2014
-0.065618085,9,2014
-0.450636844,10,2014
-0.79838176,11,2014
-1.028783718,12,2014
-0.957450932,1,2015
-0.395753403,2,2015
0.071169574,3,2015
-0.218115783,4,2015
-0.282051176,5,2015
-0.523159392,6,2015
-0.149852563,7,2015
0.200518767,8,2015
-0.898631715,9,2015
-1.006385183,10,2015
-1.115661286,11,2015
-1.353911727,12,2015
-1.25295236,1,2016
-1.521808883,2,2016
-1.836701208,3,2016
-1.464906299,4,2016
-0.53900476,5,2016
-0.762235791,6,2016
-0.984084279,7,2016
-1.515348098,8,2016
-1.734311261,9,2016
-1.482081913,10,2016
-1.379386711,11,2016
-1.360918546,12,2016
-0.995204136,1,2017
-0.925968858,2,2017
-0.855070661,3,2017
-0.727056023,4,2017
-1.448173296,5,2017
-1.09580796,6,2017
-0.935842827,7,2017
-0.489364207,8,2017
-0.594115404,9,2017
-0.279425411,10,2017
-0.001956015,11,2017
0.244344976,12,2017
-0.044658257,1,2018
-0.253966415,2,2018
-0.212144166,3,2018
-0.140926031,4,2018
0.184621066,5,2018
0.101600912,6,2018
0.160176895,7,2018
0.097598133,8,2018
0.900019235,9,2018
0.652829799,10,2018
0.417469369,11,2018
0.278350682,12,2018
0.037900999,1,2019
0.004051654,2,2019
-0.114547687,3,2019
-0.408762645,4,2019
-0.601940519,5,2019
-1.150047104,6,2019
-0.988266128,7,2019
-1.091263997,8,2019
-1.911038044,9,2019
-1.924396174,10,2019
-2.036991172,11,2019
-1.746745255,12,2019
-1.895132312,1,2020
-1.944479194,2,2020
-1.98680847,3,2020
-2.001992953,4,2020
-1.796967804,5,2020
-1.499042821,6,2020
-1.0748865,7,2020
-0.744003214,8,2020
-0.555141953,9,2020
-0.737259405,10,2020
-0.783239469,11,2020
-1.293390672,12,2020
-1.224660649,1,2021
1.173220537,2,2021
1.210942583,3,2021
1.167898101,4,2021
0.754307463,5,2021
1.17973083,6,2021
0.99821408,7,2021
1.164913903,8,2021
0.845664577,9,2021
0.716998021,10,2021
0.528393603,11,2021
